NÚMERO FATURA CLIENTE;CONCEITO;CLIENTE;PROVÍNCIA;SETOR;IMPORTE CLIENTE;DATA FATURA CLIENTE;PAGAMENTO CLIENTE;FORNECEDOR;ZONA;TIPO;IMPORTE FORNECEDOR
340;DESENVOLVIMENTO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 300,00 € ;20/11/2020;SIM;PROV-005;ZONA 2;INTERNO; 75,00 € 
341;PROJETO;CLIENTE-0005;BARCELONA;METAL; 120,00 € ;06/01/2020;SIM;PROV-003;ZONA 2;INTERNO; 30,00 € 
342;EQUIPES;CLIENTE-0006;BARCELONA;BANCO; 150,00 € ;09/11/2019;SIM;PROV-005;ZONA 2;INTERNO; 37,50 € 
343;PROGRAMA;CLIENTE-0007;BARCELONA;BANCO; 1.200,00 € ;20/02/2020;SIM;PROV-003;ZONA 2;INTERNO; 300,00 € 
344;FORMAÇÃO;CLIENTE-0003;MADRI;CONSTRUÇÃO; 800,00 € ;20/01/2019;SIM;PROV-005;ZONA 2;INTERNO; 200,00 € 
345;CONSULTORIA;CLIENTE-0004;MADRI;CONSTRUÇÃO; 750,00 € ;20/08/2019;SIM;PROV-005;ZONA 2;INTERNO; 187,50 € 
346;DESENVOLVIMENTO;CLIENTE-0005;BARCELONA;METAL; 4.500,00 € ;25/11/2021;NÃO;PROV-003;ZONA 2;INTERNO; 1.125,00 € 
347;PROJETO;CLIENTE-0005;BARCELONA;METAL; 500,00 € ;03/05/2021;NÃO;PROV-001;ZONA 1;EXTERNO; 125,00 € 
348;EQUIPES;CLIENTE-0006;BARCELONA;BANCO; 750,00 € ;26/12/2021;NÃO;PROV-002;ZONA 1;EXTERNO; 187,50 € 
349;PROGRAMA;CLIENTE-0007;BARCELONA;BANCO; 950,00 € ;09/11/2019;NÃO;PROV-001;ZONA 1;EXTERNO; 237,50 € 
350;FORMAÇÃO;CLIENTE-0008;ALICANTE;METAL; 680,00 € ;02/01/2021;NÃO;PROV-005;ZONA 2;INTERNO; 170,00 € 
351;CONSULTORIA;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 950,00 € ;22/03/2021;NÃO;PROV-005;ZONA 2;INTERNO; 237,50 € 
352;DESENVOLVIMENTO;CLIENTE-0010;MADRI;BANCO; 1.500,00 € ;27/02/2019;NÃO;PROV-003;ZONA 2;INTERNO; 375,00 € 
353;EQUIPES;CLIENTE-0001;MADRI;METAL; 5.000,00 € ;07/12/2020;SIM;PROV-005;ZONA 2;INTERNO; 1.250,00 € 
354;PROGRAMA;CLIENTE-0010;MADRI;BANCO; 6.500,00 € ;22/06/2020;SIM;PROV-003;ZONA 2;INTERNO; 1.625,00 € 
355;FORMAÇÃO;CLIENTE-0001;MADRI;METAL; 8.500,00 € ;20/07/2019;SIM;PROV-005;ZONA 2;INTERNO; 2.125,00 € 
356;CONSULTORIA;CLIENTE-0002;ALICANTE;CONSTRUÇÃO; 1.200,00 € ;04/04/2021;SIM;PROV-005;ZONA 2;INTERNO; 300,00 € 
357;DESENVOLVIMENTO;CLIENTE-0003;MADRI;CONSTRUÇÃO; 300,00 € ;28/09/2020;SIM;PROV-003;ZONA 2;INTERNO; 120,00 € 
358;PROJETO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 200,00 € ;17/04/2019;SIM;PROV-001;ZONA 1;EXTERNO; 80,00 € 
359;EQUIPES;CLIENTE-0005;BARCELONA;METAL; 150,00 € ;16/08/2021;SIM;PROV-002;ZONA 1;EXTERNO; 60,00 € 
360;CONSULTORIA;CLIENTE-0006;BARCELONA;BANCO; 120,00 € ;06/02/2020;SIM;PROV-001;ZONA 1;EXTERNO; 48,00 € 
361;DESENVOLVIMENTO;CLIENTE-0007;BARCELONA;BANCO; 300,00 € ;02/01/2019;NÃO;PROV-005;ZONA 2;INTERNO; 120,00 € 
362;PROJETO;CLIENTE-0008;ALICANTE;METAL; 350,00 € ;01/05/2020;NÃO;PROV-003;ZONA 2;INTERNO; 140,00 € 
363;EQUIPES;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 300,00 € ;19/03/2019;NÃO;PROV-005;ZONA 2;INTERNO; 120,00 € 
364;PROGRAMA;CLIENTE-0010;MADRI;BANCO; 120,00 € ;23/09/2020;NÃO;PROV-005;ZONA 2;INTERNO; 48,00 € 
365;FORMAÇÃO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 150,00 € ;25/11/2019;SIM;PROV-003;ZONA 2;INTERNO; 60,00 € 
366;CONSULTORIA;CLIENTE-0005;BARCELONA;METAL; 8.500,00 € ;15/05/2021;SIM;PROV-005;ZONA 2;INTERNO; 3.400,00 € 
367;DESENVOLVIMENTO;CLIENTE-0005;BARCELONA;METAL; 1.200,00 € ;11/10/2020;SIM;PROV-003;ZONA 2;INTERNO; 480,00 € 
368;PROJETO;CLIENTE-0006;BARCELONA;BANCO; 300,00 € ;26/01/2021;SIM;PROV-005;ZONA 2;INTERNO; 120,00 € 
369;EQUIPES;CLIENTE-0007;BARCELONA;BANCO; 200,00 € ;10/04/2020;SIM;PROV-005;ZONA 2;INTERNO; 80,00 € 
370;PROGRAMA;CLIENTE-0008;ALICANTE;METAL; 150,00 € ;29/11/2021;SIM;PROV-003;ZONA 2;INTERNO; 60,00 € 
371;FORMAÇÃO;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 120,00 € ;06/04/2021;SIM;PROV-001;ZONA 1;EXTERNO; 48,00 € 
372;CONSULTORIA;CLIENTE-0010;MADRI;BANCO; 300,00 € ;26/05/2019;SIM;PROV-002;ZONA 1;EXTERNO; 120,00 € 
373;DESENVOLVIMENTO;CLIENTE-0001;MADRI;METAL; 350,00 € ;24/03/2019;SIM;PROV-001;ZONA 1;EXTERNO; 140,00 € 
374;PROJETO;CLIENTE-0010;MADRI;BANCO; 8.500,00 € ;23/02/2019;SIM;PROV-004;ZONA 1;EXTERNO; 3.400,00 € 
375;EQUIPES;CLIENTE-0001;MADRI;METAL; 1.200,00 € ;25/04/2021;SIM;PROV-004;ZONA 1;EXTERNO; 480,00 € 
376;PROGRAMA;CLIENTE-0002;ALICANTE;CONSTRUÇÃO; 300,00 € ;22/07/2020;SIM;PROV-004;ZONA 1;EXTERNO; 120,00 € 
377;FORMAÇÃO;CLIENTE-0003;MADRI;CONSTRUÇÃO; 200,00 € ;23/12/2021;NÃO;PROV-004;ZONA 1;EXTERNO; 80,00 € 
378;CONSULTORIA;CLIENTE-0004;MADRI;CONSTRUÇÃO; 150,00 € ;09/03/2019;NÃO;PROV-004;ZONA 1;EXTERNO; 60,00 € 
379;DESENVOLVIMENTO;CLIENTE-0005;BARCELONA;METAL; 120,00 € ;10/03/2021;NÃO;PROV-005;ZONA 2;INTERNO; 48,00 € 
380;PROJETO;CLIENTE-0006;BARCELONA;BANCO; 300,00 € ;01/11/2020;NÃO;PROV-003;ZONA 2;INTERNO; 120,00 € 
381;EQUIPES;CLIENTE-0007;BARCELONA;BANCO; 350,00 € ;19/01/2020;NÃO;PROV-005;ZONA 2;INTERNO; 140,00 € 
382;PROGRAMA;CLIENTE-0008;ALICANTE;METAL; 300,00 € ;29/11/2020;NÃO;PROV-005;ZONA 2;INTERNO; 120,00 € 
383;FORMAÇÃO;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 120,00 € ;21/08/2021;NÃO;PROV-003;ZONA 2;INTERNO; 48,00 € 
384;CONSULTORIA;CLIENTE-0010;MADRI;BANCO; 150,00 € ;17/11/2019;SIM;PROV-005;ZONA 2;INTERNO; 60,00 € 
385;DESENVOLVIMENTO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 1.200,00 € ;09/06/2019;SIM;PROV-003;ZONA 2;INTERNO; 480,00 € 
386;PROJETO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 800,00 € ;15/02/2019;SIM;PROV-005;ZONA 2;INTERNO; 320,00 € 
387;EQUIPES;CLIENTE-0005;BARCELONA;METAL; 750,00 € ;30/01/2019;SIM;PROV-005;ZONA 2;INTERNO; 300,00 € 
388;PROGRAMA;CLIENTE-0006;BARCELONA;BANCO; 4.500,00 € ;12/01/2020;SIM;PROV-003;ZONA 2;INTERNO; 1.800,00 € 
389;FORMAÇÃO;CLIENTE-0007;BARCELONA;BANCO; 500,00 € ;27/09/2020;SIM;PROV-001;ZONA 1;EXTERNO; 200,00 € 
390;CONSULTORIA;CLIENTE-0003;MADRI;CONSTRUÇÃO; 750,00 € ;02/06/2020;SIM;PROV-002;ZONA 1;EXTERNO; 300,00 € 
391;DESENVOLVIMENTO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 950,00 € ;28/05/2020;SIM;PROV-001;ZONA 1;EXTERNO; 427,50 € 
392;PROJETO;CLIENTE-0005;BARCELONA;METAL; 680,00 € ;07/11/2020;NÃO;PROV-005;ZONA 2;INTERNO; 306,00 € 
393;EQUIPES;CLIENTE-0005;BARCELONA;METAL; 950,00 € ;10/08/2021;NÃO;PROV-003;ZONA 2;INTERNO; 427,50 € 
394;CONSULTORIA;CLIENTE-0006;BARCELONA;BANCO; 1.500,00 € ;28/08/2019;NÃO;PROV-005;ZONA 2;INTERNO; 675,00 € 
395;DESENVOLVIMENTO;CLIENTE-0007;BARCELONA;BANCO; 5.000,00 € ;13/03/2020;SIM;PROV-005;ZONA 2;INTERNO; 2.250,00 € 
396;PROJETO;CLIENTE-0008;ALICANTE;METAL; 6.500,00 € ;23/01/2020;SIM;PROV-003;ZONA 2;INTERNO; 2.925,00 € 
397;EQUIPES;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 8.500,00 € ;02/07/2019;SIM;PROV-005;ZONA 2;INTERNO; 3.825,00 € 
398;PROGRAMA;CLIENTE-0010;MADRI;BANCO; 1.200,00 € ;18/01/2021;SIM;PROV-003;ZONA 2;INTERNO; 540,00 € 
399;FORMAÇÃO;CLIENTE-0001;MADRI;METAL; 300,00 € ;12/05/2020;SIM;PROV-005;ZONA 2;INTERNO; 135,00 € 
400;CONSULTORIA;CLIENTE-0010;MADRI;BANCO; 200,00 € ;03/07/2021;SIM;PROV-005;ZONA 2;INTERNO; 90,00 € 
401;DESENVOLVIMENTO;CLIENTE-0001;MADRI;METAL; 150,00 € ;01/11/2019;SIM;PROV-003;ZONA 2;INTERNO; 67,50 € 
402;PROJETO;CLIENTE-0002;ALICANTE;CONSTRUÇÃO; 120,00 € ;24/02/2019;SIM;PROV-001;ZONA 1;EXTERNO; 54,00 € 
403;EQUIPES;CLIENTE-0003;MADRI;CONSTRUÇÃO; 300,00 € ;23/02/2021;SIM;PROV-002;ZONA 1;EXTERNO; 135,00 € 
404;PROGRAMA;CLIENTE-0004;MADRI;CONSTRUÇÃO; 350,00 € ;13/12/2020;SIM;PROV-001;ZONA 1;EXTERNO; 157,50 € 
405;FORMAÇÃO;CLIENTE-0005;BARCELONA;METAL; 300,00 € ;11/05/2019;SIM;PROV-004;ZONA 1;EXTERNO; 135,00 € 
406;CONSULTORIA;CLIENTE-0006;BARCELONA;BANCO; 120,00 € ;07/02/2020;SIM;PROV-004;ZONA 1;EXTERNO; 54,00 € 
407;DESENVOLVIMENTO;CLIENTE-0007;BARCELONA;BANCO; 150,00 € ;07/08/2020;SIM;PROV-004;ZONA 1;EXTERNO; 67,50 € 
408;PROJETO;CLIENTE-0008;ALICANTE;METAL; 8.500,00 € ;18/02/2019;SIM;PROV-004;ZONA 1;EXTERNO; 3.825,00 € 
409;EQUIPES;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 1.200,00 € ;28/09/2021;NÃO;PROV-004;ZONA 1;EXTERNO; 540,00 € 
410;PROGRAMA;CLIENTE-0010;MADRI;BANCO; 300,00 € ;31/07/2021;NÃO;PROV-005;ZONA 2;INTERNO; 135,00 € 
411;FORMAÇÃO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 200,00 € ;23/12/2020;NÃO;PROV-003;ZONA 2;INTERNO; 90,00 € 
412;CONSULTORIA;CLIENTE-0005;BARCELONA;METAL; 150,00 € ;09/12/2019;NÃO;PROV-005;ZONA 2;INTERNO; 67,50 € 
413;DESENVOLVIMENTO;CLIENTE-0005;BARCELONA;METAL; 120,00 € ;26/08/2021;NÃO;PROV-005;ZONA 2;INTERNO; 54,00 € 
414;DESENVOLVIMENTO;CLIENTE-0006;BARCELONA;BANCO; 300,00 € ;21/05/2021;NÃO;PROV-003;ZONA 2;INTERNO; 135,00 € 
415;PROJETO;CLIENTE-0007;BARCELONA;BANCO; 350,00 € ;02/01/2021;NÃO;PROV-005;ZONA 2;INTERNO; 157,50 € 
416;EQUIPES;CLIENTE-0008;ALICANTE;METAL; 300,00 € ;20/07/2019;SIM;PROV-003;ZONA 2;INTERNO; 90,00 € 
417;PROGRAMA;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 120,00 € ;26/02/2019;SIM;PROV-005;ZONA 2;INTERNO; 36,00 € 
418;FORMAÇÃO;CLIENTE-0010;MADRI;BANCO; 150,00 € ;15/02/2021;SIM;PROV-005;ZONA 2;INTERNO; 45,00 € 
419;CONSULTORIA;CLIENTE-0001;MADRI;METAL; 1.200,00 € ;20/11/2020;SIM;PROV-003;ZONA 2;INTERNO; 360,00 € 
420;DESENVOLVIMENTO;CLIENTE-0010;MADRI;BANCO; 800,00 € ;04/12/2021;SIM;PROV-001;ZONA 1;EXTERNO; 240,00 € 
421;PROJETO;CLIENTE-0001;MADRI;METAL; 750,00 € ;30/01/2019;SIM;PROV-002;ZONA 1;EXTERNO; 225,00 € 
422;EQUIPES;CLIENTE-0002;ALICANTE;CONSTRUÇÃO; 4.500,00 € ;15/01/2021;SIM;PROV-005;ZONA 2;INTERNO; 1.350,00 € 
423;PROGRAMA;CLIENTE-0003;MADRI;CONSTRUÇÃO; 500,00 € ;12/01/2021;SIM;PROV-003;ZONA 2;INTERNO; 150,00 € 
424;FORMAÇÃO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 750,00 € ;28/06/2019;SIM;PROV-005;ZONA 2;INTERNO; 225,00 € 
425;CONSULTORIA;CLIENTE-0005;BARCELONA;METAL; 950,00 € ;17/01/2020;SIM;PROV-005;ZONA 2;INTERNO; 285,00 € 
426;DESENVOLVIMENTO;CLIENTE-0006;BARCELONA;BANCO; 680,00 € ;22/01/2021;SIM;PROV-003;ZONA 2;INTERNO; 204,00 € 
427;PROJETO;CLIENTE-0007;BARCELONA;BANCO; 950,00 € ;15/05/2020;SIM;PROV-005;ZONA 2;INTERNO; 285,00 € 
428;EQUIPES;CLIENTE-0008;ALICANTE;METAL; 1.500,00 € ;02/12/2019;SIM;PROV-003;ZONA 2;INTERNO; 450,00 € 
429;CONSULTORIA;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 5.000,00 € ;13/04/2020;SIM;PROV-005;ZONA 2;INTERNO; 1.500,00 € 
430;DESENVOLVIMENTO;CLIENTE-0010;MADRI;BANCO; 6.500,00 € ;19/10/2020;SIM;PROV-005;ZONA 2;INTERNO; 1.950,00 € 
431;PROJETO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 1.200,00 € ;19/04/2020;SIM;PROV-003;ZONA 2;INTERNO; 360,00 € 
432;EQUIPES;CLIENTE-0005;BARCELONA;METAL; 800,00 € ;14/09/2019;SIM;PROV-001;ZONA 1;EXTERNO; 240,00 € 
433;PROGRAMA;CLIENTE-0006;BARCELONA;BANCO; 750,00 € ;24/05/2021;SIM;PROV-002;ZONA 1;EXTERNO; 225,00 € 
434;FORMAÇÃO;CLIENTE-0007;BARCELONA;BANCO; 4.500,00 € ;13/05/2019;SIM;PROV-001;ZONA 1;EXTERNO; 1.350,00 € 
435;CONSULTORIA;CLIENTE-0003;MADRI;CONSTRUÇÃO; 500,00 € ;26/11/2021;SIM;PROV-004;ZONA 1;EXTERNO; 150,00 € 
436;DESENVOLVIMENTO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 750,00 € ;08/12/2021;SIM;PROV-004;ZONA 1;EXTERNO; 225,00 € 
437;PROJETO;CLIENTE-0005;BARCELONA;METAL; 950,00 € ;19/06/2019;NÃO;PROV-004;ZONA 1;EXTERNO; 285,00 € 
438;EQUIPES;CLIENTE-0005;BARCELONA;METAL; 680,00 € ;01/04/2021;NÃO;PROV-004;ZONA 1;EXTERNO; 204,00 € 
439;PROGRAMA;CLIENTE-0006;BARCELONA;BANCO; 950,00 € ;13/12/2021;NÃO;PROV-004;ZONA 1;EXTERNO; 285,00 € 
440;PROJETO;CLIENTE-0007;BARCELONA;BANCO; 1.500,00 € ;07/09/2020;NÃO;PROV-005;ZONA 2;INTERNO; 450,00 € 
441;EQUIPES;CLIENTE-0008;ALICANTE;METAL; 5.000,00 € ;26/05/2020;NÃO;PROV-003;ZONA 2;INTERNO; 1.500,00 € 
442;PROGRAMA;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 6.500,00 € ;15/04/2019;NÃO;PROV-005;ZONA 2;INTERNO; 1.950,00 € 
443;FORMAÇÃO;CLIENTE-0010;MADRI;BANCO; 8.500,00 € ;23/03/2021;NÃO;PROV-005;ZONA 2;INTERNO; 2.550,00 € 
444;CONSULTORIA;CLIENTE-0001;MADRI;METAL; 1.200,00 € ;30/12/2020;SIM;PROV-003;ZONA 2;INTERNO; 360,00 € 
445;DESENVOLVIMENTO;CLIENTE-0010;MADRI;BANCO; 300,00 € ;28/06/2019;SIM;PROV-005;ZONA 2;INTERNO; 90,00 € 
446;PROJETO;CLIENTE-0001;MADRI;METAL; 200,00 € ;01/08/2020;SIM;PROV-003;ZONA 2;INTERNO; 60,00 € 
447;EQUIPES;CLIENTE-0002;ALICANTE;CONSTRUÇÃO; 150,00 € ;12/09/2020;SIM;PROV-005;ZONA 2;INTERNO; 45,00 € 
448;CONSULTORIA;CLIENTE-0003;MADRI;CONSTRUÇÃO; 120,00 € ;01/07/2021;SIM;PROV-005;ZONA 2;INTERNO; 36,00 € 
449;DESENVOLVIMENTO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 300,00 € ;28/07/2020;SIM;PROV-003;ZONA 2;INTERNO; 90,00 € 
450;PROJETO;CLIENTE-0005;BARCELONA;METAL; 350,00 € ;01/08/2020;SIM;PROV-001;ZONA 1;EXTERNO; 105,00 € 
451;EQUIPES;CLIENTE-0006;BARCELONA;BANCO; 300,00 € ;11/09/2021;NÃO;PROV-002;ZONA 1;EXTERNO; 90,00 € 
452;PROGRAMA;CLIENTE-0007;BARCELONA;BANCO; 120,00 € ;14/05/2020;NÃO;PROV-001;ZONA 1;EXTERNO; 36,00 € 
453;FORMAÇÃO;CLIENTE-0008;ALICANTE;METAL; 150,00 € ;04/02/2020;NÃO;PROV-005;ZONA 2;INTERNO; 45,00 € 
454;CONSULTORIA;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 1.200,00 € ;13/08/2021;NÃO;PROV-003;ZONA 2;INTERNO; 360,00 € 
455;DESENVOLVIMENTO;CLIENTE-0010;MADRI;BANCO; 800,00 € ;20/05/2019;NÃO;PROV-005;ZONA 2;INTERNO; 240,00 € 
456;PROJETO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 750,00 € ;20/03/2021;NÃO;PROV-005;ZONA 2;INTERNO; 225,00 € 
457;EQUIPES;CLIENTE-0005;BARCELONA;METAL; 4.500,00 € ;12/04/2021;SIM;PROV-003;ZONA 2;INTERNO; 1.350,00 € 
458;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 500,00 € ;12/04/2020;SIM;PROV-005;ZONA 2;INTERNO; 150,00 € 
459;FORMAÇÃO;CLIENTE-0006;BARCELONA;BANCO; 750,00 € ;11/07/2021;SIM;PROV-003;ZONA 2;INTERNO; 225,00 € 
460;CONSULTORIA;CLIENTE-0007;BARCELONA;BANCO; 950,00 € ;14/08/2019;SIM;PROV-005;ZONA 2;INTERNO; 285,00 € 
461;DESENVOLVIMENTO;CLIENTE-0008;ALICANTE;METAL; 680,00 € ;09/09/2021;SIM;PROV-005;ZONA 2;INTERNO; 170,00 € 
462;PROJETO;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 950,00 € ;26/04/2019;SIM;PROV-003;ZONA 2;INTERNO; 237,50 € 
463;EQUIPES;CLIENTE-0010;MADRI;BANCO; 1.500,00 € ;24/11/2020;SIM;PROV-001;ZONA 1;EXTERNO; 375,00 € 
464;PROGRAMA;CLIENTE-0001;MADRI;METAL; 5.000,00 € ;23/03/2020;SIM;PROV-002;ZONA 1;EXTERNO; 1.250,00 € 
465;FORMAÇÃO;CLIENTE-0010;MADRI;BANCO; 6.500,00 € ;20/03/2021;SIM;PROV-001;ZONA 1;EXTERNO; 1.625,00 € 
466;CONSULTORIA;CLIENTE-0001;MADRI;METAL; 8.500,00 € ;08/03/2020;SIM;PROV-004;ZONA 1;EXTERNO; 2.125,00 € 
467;DESENVOLVIMENTO;CLIENTE-0002;ALICANTE;CONSTRUÇÃO; 1.200,00 € ;13/05/2020;SIM;PROV-004;ZONA 1;EXTERNO; 300,00 € 
468;PROJETO;CLIENTE-0003;MADRI;CONSTRUÇÃO; 300,00 € ;29/07/2019;SIM;PROV-004;ZONA 1;EXTERNO; 75,00 € 
469;EQUIPES;CLIENTE-0004;MADRI;CONSTRUÇÃO; 200,00 € ;25/12/2019;SIM;PROV-004;ZONA 1;EXTERNO; 50,00 € 
470;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 150,00 € ;05/05/2020;SIM;PROV-004;ZONA 1;EXTERNO; 37,50 € 
471;FORMAÇÃO;CLIENTE-0006;BARCELONA;BANCO; 120,00 € ;17/04/2019;SIM;PROV-005;ZONA 2;INTERNO; 30,00 € 
472;CONSULTORIA;CLIENTE-0007;BARCELONA;BANCO; 300,00 € ;19/03/2019;SIM;PROV-003;ZONA 2;INTERNO; 75,00 € 
473;DESENVOLVIMENTO;CLIENTE-0008;ALICANTE;METAL; 350,00 € ;16/08/2021;SIM;PROV-005;ZONA 2;INTERNO; 87,50 € 
474;PROJETO;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 300,00 € ;31/07/2021;SIM;PROV-005;ZONA 2;INTERNO; 75,00 € 
475;EQUIPES;CLIENTE-0010;MADRI;BANCO; 120,00 € ;27/05/2019;SIM;PROV-003;ZONA 2;INTERNO; 30,00 € 
476;PROGRAMA;CLIENTE-0004;MADRI;CONSTRUÇÃO; 150,00 € ;14/08/2019;SIM;PROV-005;ZONA 2;INTERNO; 37,50 € 
477;FORMAÇÃO;CLIENTE-0005;BARCELONA;METAL; 8.500,00 € ;25/06/2019;SIM;PROV-003;ZONA 2;INTERNO; 2.125,00 € 
478;CONSULTORIA;CLIENTE-0006;BARCELONA;BANCO; 1.200,00 € ;27/10/2020;NÃO;PROV-005;ZONA 2;INTERNO; 300,00 € 
479;DESENVOLVIMENTO;CLIENTE-0007;BARCELONA;BANCO; 300,00 € ;24/07/2020;NÃO;PROV-005;ZONA 2;INTERNO; 75,00 € 
480;PROJETO;CLIENTE-0003;MADRI;CONSTRUÇÃO; 200,00 € ;10/04/2020;NÃO;PROV-003;ZONA 2;INTERNO; 50,00 € 
481;EQUIPES;CLIENTE-0004;MADRI;CONSTRUÇÃO; 150,00 € ;30/06/2020;NÃO;PROV-001;ZONA 1;EXTERNO; 37,50 € 
482;CONSULTORIA;CLIENTE-0005;BARCELONA;METAL; 120,00 € ;08/07/2019;NÃO;PROV-002;ZONA 1;EXTERNO; 30,00 € 
483;DESENVOLVIMENTO;CLIENTE-0005;BARCELONA;METAL; 300,00 € ;14/05/2019;NÃO;PROV-001;ZONA 1;EXTERNO; 75,00 € 
484;PROJETO;CLIENTE-0006;BARCELONA;BANCO; 350,00 € ;08/12/2020;NÃO;PROV-005;ZONA 2;INTERNO; 87,50 € 
485;EQUIPES;CLIENTE-0007;BARCELONA;BANCO; 300,00 € ;14/02/2019;SIM;PROV-005;ZONA 2;INTERNO; 75,00 € 
486;PROGRAMA;CLIENTE-0008;ALICANTE;METAL; 120,00 € ;14/10/2021;SIM;PROV-003;ZONA 2;INTERNO; 30,00 € 
487;FORMAÇÃO;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 150,00 € ;16/11/2019;SIM;PROV-005;ZONA 2;INTERNO; 37,50 € 
488;CONSULTORIA;CLIENTE-0010;MADRI;BANCO; 1.200,00 € ;29/05/2021;SIM;PROV-003;ZONA 2;INTERNO; 300,00 € 
489;DESENVOLVIMENTO;CLIENTE-0001;MADRI;METAL; 800,00 € ;23/07/2019;SIM;PROV-005;ZONA 2;INTERNO; 200,00 € 
490;PROJETO;CLIENTE-0010;MADRI;BANCO; 750,00 € ;26/01/2019;SIM;PROV-005;ZONA 2;INTERNO; 187,50 € 
491;EQUIPES;CLIENTE-0001;MADRI;METAL; 4.500,00 € ;18/10/2019;SIM;PROV-003;ZONA 2;INTERNO; 1.125,00 € 
492;PROGRAMA;CLIENTE-0002;ALICANTE;CONSTRUÇÃO; 500,00 € ;30/04/2019;SIM;PROV-001;ZONA 1;EXTERNO; 125,00 € 
493;FORMAÇÃO;CLIENTE-0003;MADRI;CONSTRUÇÃO; 750,00 € ;23/07/2019;SIM;PROV-002;ZONA 1;EXTERNO; 187,50 € 
494;CONSULTORIA;CLIENTE-0004;MADRI;CONSTRUÇÃO; 950,00 € ;23/11/2020;SIM;PROV-001;ZONA 1;EXTERNO; 237,50 € 
495;DESENVOLVIMENTO;CLIENTE-0005;BARCELONA;METAL; 680,00 € ;08/08/2021;SIM;PROV-005;ZONA 2;INTERNO; 170,00 € 
496;PROJETO;CLIENTE-0006;BARCELONA;BANCO; 950,00 € ;28/02/2021;SIM;PROV-003;ZONA 2;INTERNO; 380,00 € 
497;EQUIPES;CLIENTE-0007;BARCELONA;BANCO; 1.500,00 € ;15/12/2021;SIM;PROV-005;ZONA 2;INTERNO; 600,00 € 
498;PROGRAMA;CLIENTE-0008;ALICANTE;METAL; 5.000,00 € ;17/07/2019;SIM;PROV-005;ZONA 2;INTERNO; 2.000,00 € 
499;FORMAÇÃO;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 6.500,00 € ;01/03/2020;SIM;PROV-003;ZONA 2;INTERNO; 1.625,00 € 
500;CONSULTORIA;CLIENTE-0010;MADRI;BANCO; 1.200,00 € ;14/06/2021;SIM;PROV-005;ZONA 2;INTERNO; 300,00 € 
501;DESENVOLVIMENTO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 800,00 € ;09/09/2019;SIM;PROV-003;ZONA 2;INTERNO; 200,00 € 
502;DESENVOLVIMENTO;CLIENTE-0005;BARCELONA;METAL; 750,00 € ;20/12/2021;SIM;PROV-005;ZONA 2;INTERNO; 187,50 € 
503;PROJETO;CLIENTE-0005;BARCELONA;METAL; 4.500,00 € ;17/12/2020;SIM;PROV-005;ZONA 2;INTERNO; 1.125,00 € 
504;EQUIPES;CLIENTE-0006;BARCELONA;BANCO; 500,00 € ;14/10/2019;SIM;PROV-003;ZONA 2;INTERNO; 125,00 € 
505;PROGRAMA;CLIENTE-0007;BARCELONA;BANCO; 750,00 € ;09/12/2020;NÃO;PROV-001;ZONA 1;EXTERNO; 187,50 € 
506;FORMAÇÃO;CLIENTE-0008;ALICANTE;METAL; 950,00 € ;01/05/2021;NÃO;PROV-002;ZONA 1;EXTERNO; 237,50 € 
507;CONSULTORIA;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 680,00 € ;14/12/2021;NÃO;PROV-001;ZONA 1;EXTERNO; 170,00 € 
508;DESENVOLVIMENTO;CLIENTE-0010;MADRI;BANCO; 950,00 € ;08/09/2019;NÃO;PROV-004;ZONA 1;EXTERNO; 237,50 € 
509;PROJETO;CLIENTE-0001;MADRI;METAL; 1.500,00 € ;10/06/2019;NÃO;PROV-004;ZONA 1;EXTERNO; 375,00 € 
